RANK	REG	CODE	Airport	Airport location	Passengers 2011	Passengers 2010	% Change
1	NAM	ATL	ATLANTA GA, US (ATL)	ATLANTA GA, US (ATL) Airport	92365860	89292748	3.3
2	ASP	PEK	BEIJING, CN (PEK)	BEIJING, CN (PEK) Airport	77403668	73913402	4.5
3	EUR	LHR	LONDON, GB (LHR)	LONDON, GB (LHR) Airport	69433565	65884143	5.1
4	NAM	ORD	CHICAGO IL, US (ORD)	CHICAGO IL, US (ORD) Airport	66561023	66904971	-0.5
5	ASP	HND	TOKYO, JP (HND)	TOKYO, JP (HND) Airport	62263025	64117894	-3.0
6	NAM	LAX	LOS ANGELES CA, US (LAX)	LOS ANGELES CA, US (LAX) Airport	61848449	58995672	4.6
7	EUR	CDG	PARIS, FR (CDG)	PARIS, FR (CDG) Airport	60970551	58166563	4.6
8	NAM	DFW	DALLAS/FORT WORTH TX, US (DFW)	DALLAS/FORT WORTH TX, US (DFW) Airport	57806152	56905066	1.6
9	EUR	FRA	FRANKFURT, DE (FRA)	FRANKFURT, DE (FRA) Airport	56436255	53009221	6.1
10	ASP	HKG	HONG KONG, HK (HKG)	HONG KONG, HK (HKG) Airport	53314213	50359536	5.5
11	NAM	DEN	DENVER CO, US (DEN)	DENVER CO, US (DEN) Airport	52699298	52209203	0.9
12	MEA	DXB	DUBAI, AE (DXB)	DUBAI, AE (DXB) Airport	50977960	47180628	7.4
13	ASP	CGK	JAKARTA, ID (CGK)	JAKARTA, ID (CGK) Airport	50446618	43981022	14.7
14	EUR	AMS	AMSTERDAM, NL (AMS)	AMSTERDAM, NL (AMS) Airport	49754910	45211749	9.1
15	EUR	MAD	MADRID, ES (MAD)	MADRID, ES (MAD) Airport	49644302	49842726	-0.4
16	ASP	BKK	BANGKOK, TH (BKK)	BANGKOK, TH (BKK) Airport	47910744	42784967	10.7
17	NAM	JFK	NEW YORK NY, US (JFK)	NEW YORK NY, US (JFK) Airport	47854283	46493667	2.8
18	ASP	SIN	SINGAPORE, SG (SIN)	SINGAPORE, SG (SIN) Airport	46543845	42038777	9.7
19	ASP	CAN	GUANGZHOU, CN (CAN)	GUANGZHOU, CN (CAN) Airport	45400156	40975253	9.7
20	NAM	LAS	LAS VEGAS NV, US (LAS)	LAS VEGAS NV, US (LAS) Airport	41479572	39757359	4.2
21	ASP	PVG	SHANGHAI, CN (PVG)	SHANGHAI, CN (PVG) Airport	41450211	40387640	2.6
22	NAM	SFO	SAN FRANCISCO CA, US (SFO)	SAN FRANCISCO CA, US (SFO) Airport	40907389	39254110	4.0
23	NAM	PHX	PHOENIX AZ, US (PHX)	PHOENIX AZ, US (PHX) Airport	40565677	38552409	5.0
24	NAM	IAH	HOUSTON TX, US (IAH)	HOUSTON TX, US (IAH) Airport	40170844	40475669	-0.8
25	NAM	CLT	CHARLOTTE NC, US (CLT)	CHARLOTTE NC, US (CLT) Airport	39043708	38143078	2.3
26	NAM	MIA	MIAMI FL, US (MIA)	MIAMI FL, US (MIA) Airport	38314389	35698025	6.8
27	EUR	MUC	MUNICH, DE (MUC)	MUNICH, DE (MUC) Airport	37763701	34721605	8.1
28	ASP	KUL	KUALA LUMPUR, MY (KUL)	KUALA LUMPUR, MY (KUL) Airport	37670586	34087636	9.5
29	EUR	FCO	ROME, IT (FCO)	ROME, IT (FCO) Airport	37651222	36227778	3.8
30	EUR	IST	ISTANBUL, TR (IST)	ISTANBUL, TR (IST) Airport	37398221	32165817	14.0
31	ASP	SYD	SYDNEY, AU (SYD)	SYDNEY, AU (SYD) Airport	36022614	35992172	0.1
32	NAM	MCO	ORLANDO FL, US (MCO)	ORLANDO FL, US (MCO) Airport	35356991	34877507	1.4
33	ASP	ICN	INCHEON, KR (ICN)	INCHEON, KR (ICN) Airport	35191825	33605579	4.5
34	ASP	DEL	NEW DELHI, IN (DEL)	NEW DELHI, IN (DEL) Airport	34729467	28531607	17.8
35	EUR	BCN	BARCELONA, ES (BCN)	BARCELONA, ES (BCN) Airport	34387597	29197135	15.1
36	EUR	LGW	LONDON, GB (LGW)	LONDON, GB (LGW) Airport	33668048	31378644	6.8
37	NAM	EWR	NEWARK NJ, US (EWR)	NEWARK NJ, US (EWR) Airport	33577154	33133852	1.3
38	NAM	YYZ	TORONTO ON, CA (YYZ)	TORONTO ON, CA (YYZ) Airport	33434199	31937895	4.5
